   PKT No.	     X	     Y	     Z	Angle(Degree)
0, -0.00, 0.00, -0.00, 0.00
1, -0.46, 0.70, -0.00, -0.03
2, -0.45, 1.90, 0.01, 0.27
3, -0.50, 3.15, 0.02, -0.13
4, -1.46, 3.98, 0.03, -0.87
5, -2.24, 4.42, 0.04, -0.31
6, -1.93, 4.46, 0.04, 0.83
7, -1.07, 5.22, 0.05, 1.42
8, 0.25, 5.26, 0.05, 1.80
9, 1.60, 5.01, 0.06, 1.85
10, 2.93, 4.84, 0.07, 1.85
11, 4.23, 4.72, 0.08, 1.84
12, 5.56, 4.64, 0.09, 1.80
13, 6.87, 4.43, 0.09, 1.86
14, 8.21, 4.17, 0.10, 1.85
15, 9.52, 4.00, 0.11, 1.82
16, 10.83, 3.76, 0.12, 1.83
17, 12.17, 3.60, 0.13, 1.85
18, 13.48, 3.49, 0.14, 1.82
19, 14.80, 3.31, 0.15, 1.77
20, 16.12, 3.34, 0.16, 1.78
21, 17.44, 3.26, 0.17, 1.80
22, 18.75, 3.01, 0.18, 1.90
23, 20.08, 2.84, 0.19, 1.82
24, 21.39, 2.77, 0.21, 1.80
25, 22.62, 2.79, 0.22, 1.57
26, 23.77, 3.03, 0.24, 1.51
27, 24.83, 2.70, 0.25, 2.38
28, 24.86, 1.67, 0.26, 3.79
29, 24.02, 1.56, 0.27, 5.27
30, 23.67, 2.43, 0.28, 6.46
31, 24.38, 3.04, 0.30, 7.78
32, 25.19, 2.50, 0.31, 9.03
33, 24.96, 1.52, 0.32, 10.42
34, 23.96, 1.63, 0.32, 11.77
35, 23.99, 2.44, 0.34, 13.29
36, 24.76, 2.60, 0.36, 14.66
37, 24.84, 1.85, 0.37, 16.32
38, 24.30, 2.17, 0.39, 17.93
39, 24.26, 2.14, 0.38, 18.00
40, 24.21, 2.11, 0.37, 18.01
